Категория;URL товара;Фото основные;Фото дополнительные;Номер заказа;Мат. основы;Цвет основы;Материал комп.;D;G;H;L;Жесткость пружины, Н/мм;Нагрузка, кг;Твердость по Шору A;Наличие, шт;Цена, руб. с НДС;T;A;B мин.;B макс.;C;Сжатие макс.;Обозначение резьбы;N;Допустимая нагрузка, кг;H1;H2;Диапазон регулировки;Исполнение;B;E;F;Допустимая нагрузка макс., кг;Поверхность комп.;Материал;Высота;Ø;Подходит для опоры с Ø;Подходит для опоры;D1;D2;D3;F макс., кг;Форма;H3;SW;Описание
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.16000800803;Натуральный каучук;Черный;Сталь;8;M3;8;6;40;4-8;60°;1319;106,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1600100100410;Натуральный каучук;Черный;Сталь;10;M4;10;10;35;4-10;60°;1057;90,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.16001500604;Натуральный каучук;Черный;Сталь;15;M4;6;10;-;8;60°;1609;87,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1600150080410;Натуральный каучук;Черный;Сталь;15;M4;8;10;187;18-19;60°;656;171,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.16001501004;Натуральный каучук;Черный;Сталь;15;M4;10;12;100;10-18;60°;2199;101,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1600150150410;Натуральный каучук;Черный;Сталь;15;M4;15;10;50;10-18;60°;1790;71,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1600150200410;Натуральный каучук;Черный;Сталь;15;M4;20;10;30;9-18;60°;100;122,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1600150300410;Натуральный каучук;Черный;Сталь;15;M4;30;10;21;8-18;60°;100;143,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.16002000506;Натуральный каучук;Черный;Сталь;20;M6;5;18;-;-;60°;Под заказ;110,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.16002000806;Натуральный каучук;Черный;Сталь;20;M6;8;18;250;20-25;60°;1304;97,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p>"
